N,T (°C),HR (%),P(hpa),Viento (m/s),Vx,Vy,Nubosidad(%),Flujo (L/día)
199,10.66590909,86.36363636,1006.945833,0.784090909,-0.609388717,0.010104902,11,0.03
166,12.17272727,73.20454545,1014.314583,1.15,-0.688500535,-0.200176196,100,0
17,16.05625,72.01041667,1011.158333,1.364583333,-0.744052952,-0.088770813,100,0
77,11.20416667,88.16666667,1009.616667,0.541666667,-0.159454098,0.013970281,77,2.81
165,10.05208333,81.375,1010.7625,0.68125,-0.269275264,0.0467552,94,0.22
108,10.12340426,51.17021277,1017.54375,0.512765957,-0.032550108,-0.186428728,17,0
147,10.92380952,75.42857143,1010.1125,1.097619048,-0.597741786,0.204466089,55,0
183,11.98837209,84.88372093,1006.902083,0.604651163,-0.175472411,-0.167154869,100,1.91
74,10.2625,83.0625,1013.108333,0.508333333,-0.159737099,0.250290936,37,0.12
84,11.73333333,83.4375,1009.383333,0.139583333,-0.039989748,0.061769472,100,0
167,12.60465116,74.8372093,1014.241667,1.06744186,-0.637536964,0.160995881,65,0
104,10.73695652,83.65217391,1017.354167,0.810869565,-0.268035659,0.37948046,92,0
185,12.66086957,73.65217391,1010.179167,0.923913043,-0.528397583,0.072346682,14,0.01
57,12.2576087,76.68478261,1020.136458,0.709782609,-0.485562849,0.044655719,72,0
81,10.97916667,64.77083333,1010.65,0.160416667,-0.053661165,-0.01875,100,0
191,13.24375,78.97916667,1010.80625,1.1375,-0.765602465,0.117158849,97,0
20,18.175,67,1018.534375,0.610416667,-0.264206588,0.018786932,100,0
170,13.00833333,69.9375,1006.027083,0.93125,-0.747329693,-0.066542019,5,0
105,10.90833333,81.77083333,1016.785417,1.033333333,-0.661160314,-0.133137283,100,0
129,9.688235294,81.35294118,1015.152083,0.823529412,-0.428927489,-0.38633896,100,0
186,14.97142857,67.47619048,1008.43125,0.866666667,-0.59269772,0.110787396,45,0
155,11.21041667,79.58333333,1009.685417,1.389583333,-0.959350362,-0.149746604,5,0
55,11.10882353,84.60294118,1018.73125,0.383823529,0.103274281,0.193148214,100,1.97
193,11.0787234,87.61702128,1008.120833,1.080851064,-0.687026124,0.438945549,6,0
22,18.9576087,62.88043478,1014.753125,1.069565217,-0.587113533,0.13000151,10,0
39,13.91979167,83.52083333,1012.878125,0.394791667,-0.176166787,-0.009777491,100,0
79,8.941666667,76.1875,1017.535417,0.566666667,0.028918112,0.050431768,35,0
16,16.37395833,63.79166667,1011.488542,0.554166667,-0.225181559,0.008157101,100,0
59,10.7326087,88.97826087,1014.370833,0.730434783,-0.571036621,0.189416876,100,0
135,8.27826087,82.39130435,1020.85625,0.295652174,-0.190890766,-0.079687525,54,0
150,9.822222222,80.22222222,1009.914583,1.396296296,-0.914073272,-0.521461688,24,0
175,17.44864865,61.08108108,1007.16875,1.010810811,-0.727404013,0.174425323,8,0
63,10.95416667,72.29166667,1011.614583,0.533333333,-0.330564589,0.059491942,5,0
115,10.98809524,79.66666667,1014.897917,0.4,-0.254477758,0.105937213,66,0
1,15.04166667,69.77083333,1017.23125,1.35625,-0.714372345,-0.184534479,5,0
194,9.939583333,79.89583333,1008.51875,1.314583333,-1.030449395,0.115479534,89,0
82,10.09761905,88.14285714,1010.429167,0.49047619,-0.253314866,0.041822499,100,0
51,12.80208333,53.32291667,1016.235417,0.486458333,-0.089393989,-0.150236867,7,0
38,14.90625,80.58333333,1016.678125,0.804166667,-0.440338639,-0.07421754,100,0
9,13.80833333,56,1014.153125,0.977083333,-0.487608693,-0.228326797,5,0
61,13.12916667,57.83333333,1016.185417,0.397916667,-0.112167959,-0.152379449,11,0
27,18.43829787,19.65957447,1014.371875,0.941489362,-0.278339442,-0.319698581,5,0
15,14.75833333,75.73958333,1013.617708,0.177083333,-0.076032685,-0.031598462,100,0
140,9.376595745,91.65957447,1013.777083,0.795744681,-0.546575742,0.120685441,100,0.18
195,11.96875,70.77083333,1011.108333,1.358333333,-0.959173443,0.300009657,100,0
53,10.13541667,91.02083333,1015.691667,0.278125,-0.155830158,4.30E-06,100,0
54,10.17395833,90.65625,1014.248958,0.166666667,0.017989575,-0.017732836,100,0.04
58,10.44507042,83.45070423,1017.561039,0.58028169,-0.43075651,0.015277011,7,2.49
31,11.96354167,82.28125,1016.54375,0.851041667,-0.542728448,-0.07954867,15,0.19
65,8.589583333,78.91666667,1013.539583,0.414583333,-0.268456548,-0.058297439,6,0.01
86,12.3,85.13043478,1008.160417,0.77173913,-0.431003899,0.15681091,100,0
76,10.12083333,80.91666667,1011.152083,0.922916667,-0.474714124,-0.308775957,76,0
78,9.572340426,91.63829787,1017.122917,0.540425532,-0.257646733,-0.259533169,90,1.55
182,16.0875,73.91666667,1008.327083,0.895833333,-0.583249921,0.065997796,99,0
200,14.65333333,71.44444444,1007.6875,1.26,-0.686698927,-0.035917102,8,0
60,12.54468085,76.72340426,1018.660417,0.540425532,-0.037424749,0.239925826,65,0
117,12.60625,63.33333333,1012.002083,0.404166667,-0.101206042,-0.1296084,6,0
208,14.38333333,75.5625,1006.489583,1.23125,-0.91397988,0.501015645,6,0.01
101,12.66666667,66.4375,1012.970833,0.3375,-0.098546658,0.000311756,37,0
157,6.595833333,90.29166667,1014.227083,0.379166667,-0.161781065,-0.152231322,48,0.01
209,13.1125,83.85416667,1008.083333,1.33125,-0.960223263,0.294261651,25,0
73,10.47291667,69.64583333,1011.6375,0.558333333,-0.364181954,-0.182579203,10,0
169,17.50869565,42.45652174,1005.833333,0.92826087,-0.71804892,0.117114363,7,0
137,10.42340426,71.80851064,1015.577083,0.387234043,-0.104637663,0.03605889,44,0
211,12.83913043,80.95652174,1007.489583,1.743478261,-1.315287985,0.004676742,39,0.37
107,6.96875,69.625,1021.79375,0.385416667,-0.100850623,0.068064862,96,0
189,15.44444444,74.66666667,1007.129167,0.808888889,-0.508332448,0.202577747,6,0.08
102,13.13125,60.77083333,1010.160417,0.427083333,-0.13932952,0.014421708,5,0
41,11.32708333,93.55208333,1014.173958,0.732291667,0.363461749,0.243226297,100,0.1
